Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p03,Exercise_Duration,mood,0.1080014130041349,0.6598657324518433,19,Yes,0.9662730133664443,False
p03,Exercise_Duration,readiness,,,19,No,,False
p03,Exercise_Duration,sleep_quality,,,19,No,,False
p03,Exercise_Duration,stress,-0.1315734018129104,0.5913204826822283,19,Yes,0.9589230766395099,False
p03,Exercise_Distance,fatigue,,,19,No,,False
p03,Exercise_Distance,mood,,,19,No,,False
p03,Exercise_Distance,readiness,,,19,No,,False
p03,Exercise_Distance,sleep_quality,,,19,No,,False
p03,Exercise_Distance,stress,,,19,No,,False
p03,Exercise_Calories,fatigue,-0.4111697307285907,0.0803109182017513,19,Yes,0.7253010181425795,False
p03,Exercise_Calories,mood,0.0986308461928509,0.6878924085076671,19,Yes,0.9662730133664443,False
p03,Exercise_Calories,readiness,,,19,No,,False
p03,Exercise_Calories,sleep_quality,,,19,No,,False
p03,Exercise_Calories,stress,-0.0974808701405776,0.6913597814195911,19,Yes,0.9662730133664443,False
p03,Exercise_Avg_HR,fatigue,-0.2170155786607856,0.4980844065949567,12,Yes,0.9589230766395099,False
p03,Exercise_Avg_HR,mood,-0.2048366225996755,0.523066896890598,12,Yes,0.9589230766395099,False
p03,Exercise_Avg_HR,readiness,,,12,No,,False
p03,Exercise_Avg_HR,sleep_quality,,,12,No,,False
p03,Exercise_Avg_HR,stress,0.4389356198564478,0.1534267201520858,12,Yes,0.7557619388028496,False
p03,Sleep_Hours,fatigue,0.1950806285137588,0.5039173000978805,14,Yes,0.9589230766395099,False
p03,Sleep_Hours,mood,0.2163280565015275,0.4575875931124273,14,Yes,0.9411697561136416,False
p03,Sleep_Hours,readiness,,,14,No,,False
p03,Sleep_Hours,sleep_quality,,,14,No,,False
p03,Sleep_Hours,stress,,,14,No,,False
p03,Sleep_Duration_Score,fatigue,0.3376353469658638,0.2377596949044006,14,Yes,0.850496204665129,False
p03,Sleep_Duration_Score,mood,0.5089594574266283,0.0630697007730813,14,Yes,0.6866713671669227,False
p03,Sleep_Duration_Score,readiness,,,14,No,,False
p03,Sleep_Duration_Score,sleep_quality,,,14,No,,False
p03,Sleep_Duration_Score,stress,,,14,No,,False
p03,Deep_Sleep_Minutes,fatigue,0.3941829535391302,0.1631265723248401,14,Yes,0.7557619388028496,False
p03,Deep_Sleep_Minutes,mood,-0.2161641277894541,0.4579368573980644,14,Yes,0.9411697561136416,False
p03,Deep_Sleep_Minutes,readiness,,,14,No,,False
p03,Deep_Sleep_Minutes,sleep_quality,,,14,No,,False
p03,Deep_Sleep_Minutes,stress,,,14,No,,False
p03,Sleep_Restlessness,fatigue,0.2664193553971737,0.3572036480426243,14,Yes,0.9385259214587792,False
p03,Sleep_Restlessness,mood,-0.0445608028285357,0.8797707739876399,14,Yes,0.9845421930474553,False
p03,Sleep_Restlessness,readiness,,,14,No,,False
p03,Sleep_Restlessness,sleep_quality,,,14,No,,False
p03,Sleep_Restlessness,stress,,,14,No,,False
p03,Sleep_Composition,fatigue,-0.0346271680532222,0.906450228474026,14,Yes,0.9845421930474553,False
p03,Sleep_Composition,mood,0.271498660374615,0.3477577711377926,14,Yes,0.9332282182116363,False
p03,Sleep_Composition,readiness,,,14,No,,False
p03,Sleep_Composition,sleep_quality,,,14,No,,False
p03,Sleep_Composition,stress,,,14,No,,False
p03,Sleep_Revitalization,fatigue,0.1005919924977862,0.7322312931453658,14,Yes,0.9718677380150945,False
p03,Sleep_Revitalization,mood,-0.2265731926898632,0.4360196040369758,14,Yes,0.9411697561136416,False
p03,Sleep_Revitalization,readiness,,,14,No,,False
p03,Sleep_Revitalization,sleep_quality,,,14,No,,False
p03,Sleep_Revitalization,stress,,,14,No,,False
p03,Sleep_Score,fatigue,0.2125255710211127,0.4657224355100924,14,Yes,0.9477669189936694,False
p03,Sleep_Score,mood,0.1999600119960014,0.4930920018132282,14,Yes,0.9589230766395099,False
p03,Sleep_Score,readiness,,,14,No,,False
p03,Sleep_Score,sleep_quality,,,14,No,,False
p03,Sleep_Score,stress,,,14,No,,False
p04,Steps,fatigue,-0.2907374240441952,0.0169952587032678,67,Yes,0.510443804501595,False
p04,Steps,mood,0.0598827168539866,0.6302541204639688,67,Yes,0.9589230766395099,False
