Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p02,Exercise_Calories,fatigue,0.0270455486910099,0.8521013711521924,50,Yes,0.9463217694014057,False
p02,Exercise_Calories,mood,0.1335306076021934,0.3552408745938508,50,Yes,0.6611915782401112,False
p02,Exercise_Calories,readiness,0.5452740040047641,4.226391389944765e-05,50,Yes,0.0032842906937779522,True
p02,Exercise_Calories,sleep_quality,0.046908720033267,0.7463291982398162,50,Yes,0.9210961739737078,False
p02,Exercise_Calories,stress,0.067677223671793,0.6405124941877852,50,Yes,0.853002957164514,False
p02,Exercise_Avg_HR,fatigue,0.0170508564461802,0.9084243850241138,48,Yes,0.9685026225741692,False
p02,Exercise_Avg_HR,mood,0.0734826759508239,0.6196439417945147,48,Yes,0.8445584337869843,False
p02,Exercise_Avg_HR,readiness,0.2273854045818304,0.1201166019767634,48,Yes,0.3846199412612115,False
p02,Exercise_Avg_HR,sleep_quality,-0.1509338338506457,0.3058271944542184,48,Yes,0.6243415432635244,False
p02,Exercise_Avg_HR,stress,-0.0803236345925609,0.5873311958988794,48,Yes,0.8315210498251542,False
p02,Sleep_Hours,fatigue,-0.0210100948139663,0.8860613675040164,49,Yes,0.9588742808058511,False
p02,Sleep_Hours,mood,0.0489873816885418,0.7381832994360341,49,Yes,0.9178209906551754,False
p02,Sleep_Hours,readiness,0.1665456925087226,0.2527341605577307,49,Yes,0.5663118812559205,False
p02,Sleep_Hours,sleep_quality,0.0696634993883431,0.6343348803147466,49,Yes,0.852159645250414,False
p02,Sleep_Hours,stress,0.0213362073160343,0.8843048000720019,49,Yes,0.9580822573201875,False
p02,Sleep_Duration_Score,fatigue,-0.1359189392892397,0.3623169310420457,47,Yes,0.6681781667146208,False
p02,Sleep_Duration_Score,mood,-0.0890055063171685,0.5518817454065592,47,Yes,0.8131002759206215,False
p02,Sleep_Duration_Score,readiness,-0.0303687313928136,0.839418049415173,47,Yes,0.9441439795128967,False
p02,Sleep_Duration_Score,sleep_quality,-0.0311945106565468,0.83511133731745,47,Yes,0.943001407776937,False
p02,Sleep_Duration_Score,stress,-0.0801795280007646,0.5921345783145203,47,Yes,0.8315210498251542,False
p02,Deep_Sleep_Minutes,fatigue,0.1298787564769646,0.3737575477921397,49,Yes,0.6785695285158265,False
p02,Deep_Sleep_Minutes,mood,-0.1744906530124862,0.2304780446038863,49,Yes,0.5307807184843194,False
p02,Deep_Sleep_Minutes,readiness,0.0504564297679729,0.7306232343492861,49,Yes,0.9129875793061439,False
p02,Deep_Sleep_Minutes,sleep_quality,0.2347600909472789,0.1044443168565491,49,Yes,0.36438595619728886,False
p02,Deep_Sleep_Minutes,stress,-0.2258255321461786,0.1187123624315114,49,Yes,0.3827450305981488,False
p02,Sleep_Restlessness,fatigue,-0.1243718829889566,0.4048831660140239,47,Yes,0.706279403401329,False
p02,Sleep_Restlessness,mood,0.0471191790799311,0.7531344390853396,47,Yes,0.9210961739737078,False
p02,Sleep_Restlessness,readiness,0.3127221033232008,0.0323399099714763,47,Yes,0.19362729303631562,False
p02,Sleep_Restlessness,sleep_quality,0.0289759474378568,0.846692352887634,47,Yes,0.9446985082934819,False
p02,Sleep_Restlessness,stress,0.0375770806415821,0.8019942351927869,47,Yes,0.935106536407568,False
p02,Sleep_Composition,fatigue,-0.029577256498927,0.8435502195800859,47,Yes,0.9441439795128967,False
p02,Sleep_Composition,mood,-0.1117454405018789,0.4545771829747106,47,Yes,0.7469765660480746,False
p02,Sleep_Composition,readiness,-0.1961068586260346,0.1864652055213769,47,Yes,0.4897330538272119,False
p02,Sleep_Composition,sleep_quality,0.1789424018185088,0.2287921567326787,47,Yes,0.5281991766544558,False
p02,Sleep_Composition,stress,-0.1067841824154178,0.4749742861976601,47,Yes,0.759146936059508,False
p02,Sleep_Revitalization,fatigue,-0.0814529979930993,0.5862469970320485,47,Yes,0.8315210498251542,False
p02,Sleep_Revitalization,mood,-0.1905544246666915,0.1994951781977004,47,Yes,0.5071101954139392,False
p02,Sleep_Revitalization,readiness,0.0492838935875786,0.7421744125425891,47,Yes,0.9180575207315762,False
p02,Sleep_Revitalization,sleep_quality,0.2493869568183783,0.0909325274068715,47,Yes,0.3316752053692905,False
p02,Sleep_Revitalization,stress,-0.3227944485000766,0.0268983632411282,47,Yes,0.17325954015725362,False
p02,Sleep_Score,fatigue,-0.159964793214843,0.2827922558430767,47,Yes,0.5982143873603546,False
p02,Sleep_Score,mood,-0.2167931795283462,0.1432733926222965,47,Yes,0.42965490908896353,False
p02,Sleep_Score,readiness,-0.0701169056412095,0.6395483409301348,47,Yes,0.853002957164514,False
p02,Sleep_Score,sleep_quality,0.1841848147227241,0.2152191016373177,47,Yes,0.5152714355192772,False
p02,Sleep_Score,stress,-0.2822810654492072,0.0545544531559985,47,Yes,0.26299064344538314,False
p03,Steps,fatigue,-0.3395841023363726,0.0298434872895912,41,Yes,0.18602440410511847,False
p03,Steps,mood,-0.1073047672203561,0.5042807208662886,41,Yes,0.7803958646911925,False
p03,Steps,readiness,,,41,Yes,,False
p03,Steps,sleep_quality,,,41,Yes,,False
p03,Steps,stress,0.0787394268939422,0.6245957802463568,41,Yes,0.8488329280964296,False
p03,Exercise_Count,fatigue,-0.217429623155726,0.1720722369855485,41,Yes,0.46634070023619667,False
p03,Exercise_Count,mood,-0.0772596231780758,0.6311400531170163,41,Yes,0.8503111666634153,False
