Participant,Behavioral_Variable,Wellness_Variable,Window,Relationship,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p02,Sleep_Hours,sleep_quality,Previous 7 days,7-day history → current well-being,-0.21436355994221848,0.03499271540892683,97,True,0.25065703945401485,True,False
p02,Sleep_Hours,stress,Previous 7 days,7-day history → current well-being,-0.1570228311971049,0.12454024783277812,97,True,0.4641536911848926,False,False
p02,Sleep_Duration_Score,fatigue,Previous 7 days,7-day history → current well-being,0.16488666252044373,0.10840604945207555,96,True,0.4310634249865996,False,False
p02,Sleep_Duration_Score,mood,Previous 7 days,7-day history → current well-being,-0.07990603778932456,0.4389905927264208,96,True,0.7516988806250882,False,False
p02,Sleep_Duration_Score,readiness,Previous 7 days,7-day history → current well-being,-0.13533904589124768,0.18859934867163178,96,True,0.5571384574715927,False,False
p02,Sleep_Duration_Score,sleep_quality,Previous 7 days,7-day history → current well-being,-0.16257531763052938,0.11351536795514862,96,True,0.4443818668011632,False,False
p02,Sleep_Duration_Score,stress,Previous 7 days,7-day history → current well-being,-0.11049563991934655,0.28383882482916106,96,True,0.6651443458873612,False,False
p02,Deep_Sleep_Minutes,fatigue,Previous 7 days,7-day history → current well-being,0.012249782933493051,0.905206584309799,97,True,0.9882193366747707,False,False
p02,Deep_Sleep_Minutes,mood,Previous 7 days,7-day history → current well-being,0.027612848748015433,0.7883293434046107,97,True,0.9444989760838159,False,False
p02,Deep_Sleep_Minutes,readiness,Previous 7 days,7-day history → current well-being,-0.328052496073787,0.0010368373405735586,97,True,0.04302449806283052,True,True
p02,Deep_Sleep_Minutes,sleep_quality,Previous 7 days,7-day history → current well-being,-0.08134683104134853,0.4283016694696726,97,True,0.747789829376049,False,False
p02,Deep_Sleep_Minutes,stress,Previous 7 days,7-day history → current well-being,0.018283262855261266,0.8589195192707737,97,True,0.9704238296534385,False,False
p02,Sleep_Restlessness,fatigue,Previous 7 days,7-day history → current well-being,0.009488013910714285,0.9268986961076322,96,True,0.9910519371129481,False,False
p02,Sleep_Restlessness,mood,Previous 7 days,7-day history → current well-being,0.12640706554318015,0.21973362147431413,96,True,0.599205168394815,False,False
p02,Sleep_Restlessness,readiness,Previous 7 days,7-day history → current well-being,0.05071679429375516,0.6236190896828406,96,True,0.8711691294324607,False,False
p02,Sleep_Restlessness,sleep_quality,Previous 7 days,7-day history → current well-being,-0.011041265265331522,0.9149730550899243,96,True,0.9882193366747707,False,False
p02,Sleep_Restlessness,stress,Previous 7 days,7-day history → current well-being,0.1283559377388253,0.2126489428744968,96,True,0.5949457958538553,False,False
p02,Sleep_Composition,fatigue,Previous 7 days,7-day history → current well-being,0.01086827814867649,0.9163003428592582,96,True,0.9882193366747707,False,False
p02,Sleep_Composition,mood,Previous 7 days,7-day history → current well-being,-0.14663982944487777,0.1539637850835829,96,True,0.5033949255760443,False,False
p02,Sleep_Composition,readiness,Previous 7 days,7-day history → current well-being,-0.0035431296705068886,0.9726691948049709,96,True,0.9937742115046837,False,False
p02,Sleep_Composition,sleep_quality,Previous 7 days,7-day history → current well-being,-0.12376344930781913,0.2296079193091074,96,True,0.6102736802689434,False,False
p02,Sleep_Composition,stress,Previous 7 days,7-day history → current well-being,-0.00860208635399113,0.9337081360920009,96,True,0.9910519371129481,False,False
p02,Sleep_Revitalization,fatigue,Previous 7 days,7-day history → current well-being,-0.07019693042836038,0.4967476111707454,96,True,0.7960152633224651,False,False
p02,Sleep_Revitalization,mood,Previous 7 days,7-day history → current well-being,0.06461640209545064,0.5316628975310923,96,True,0.8207341203718918,False,False
p02,Sleep_Revitalization,readiness,Previous 7 days,7-day history → current well-being,0.15512279210916763,0.13126607686221156,96,True,0.4647737450763034,False,False
p02,Sleep_Revitalization,sleep_quality,Previous 7 days,7-day history → current well-being,0.05535837484397183,0.5921624524771559,96,True,0.8534972561229454,False,False
p02,Sleep_Revitalization,stress,Previous 7 days,7-day history → current well-being,0.08863884284548523,0.3904535221142341,96,True,0.7347829168755551,False,False
p02,Sleep_Score,fatigue,Previous 7 days,7-day history → current well-being,0.08999013927691166,0.3832408318857365,96,True,0.7347829168755551,False,False
p02,Sleep_Score,mood,Previous 7 days,7-day history → current well-being,-0.07849835673103674,0.447121484542943,96,True,0.7544350921208938,False,False
p02,Sleep_Score,readiness,Previous 7 days,7-day history → current well-being,0.010800837844714438,0.9168178582002012,96,True,0.9882193366747707,False,False
p02,Sleep_Score,sleep_quality,Previous 7 days,7-day history → current well-being,-0.14899411808723087,0.147389141079385,96,True,0.49042890081451007,False,False
p02,Sleep_Score,stress,Previous 7 days,7-day history → current well-being,-0.02573754490475578,0.8034278780220472,96,True,0.9479863049660642,False,False
p03,Steps,fatigue,Previous 7 days,7-day history → current well-being,0.17196411112064017,0.14014435083725718,75,True,0.4781952511676681,False,False
p03,Steps,mood,Previous 7 days,7-day history → current well-being,0.01374471485159362,0.906829183496293,75,True,0.9882193366747707,False,False
p03,Steps,readiness,Previous 7 days,7-day history → current well-being,0.3560452386285049,0.0017181139588835284,75,True,0.0468998675262801,True,True
p03,Steps,sleep_quality,Previous 7 days,7-day history → current well-being,0.24281402041266298,0.03581371279373086,75,True,0.25163689567917763,True,False
p03,Steps,stress,Previous 7 days,7-day history → current well-being,0.08173634760889226,0.48571757657842307,75,True,0.7899754466090295,False,False
p03,Exercise_Count,fatigue,Previous 7 days,7-day history → current well-being,0.04540434164577456,0.6873195037259971,81,True,0.9062567868972025,False,False
p03,Exercise_Count,mood,Previous 7 days,7-day history → current well-being,-0.06994302524190757,0.5349524860523955,81,True,0.821127676159452,False,False
p03,Exercise_Count,readiness,Previous 7 days,7-day history → current well-being,0.16816506012911428,0.1334406530870513,81,True,0.4665442893118069,False,False
p03,Exercise_Count,sleep_quality,Previous 7 days,7-day history → current well-being,0.09790961348514804,0.38452872770510804,81,True,0.7347829168755551,False,False
p03,Exercise_Count,stress,Previous 7 days,7-day history → current well-being,-0.026663217401641542,0.8132145116020373,81,True,0.9528383488608557,False,False
