Analysis,Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,p_FDR
sensitivity_Z1,p10,Sleep_Duration_Score,sleep_quality,0.6539700901877303,1.522036013310819e-05,36,0.0016875574297583
sensitivity_Z1,p10,Sleep_Score,fatigue,0.5281057132641315,0.0009313960675871,36,0.0258171347484299
sensitivity_Z1,p10,Sleep_Score,sleep_quality,0.5948347908681775,0.0001302147125784,36,0.0077000300038027
sensitivity_Z1,p11,Exercise_Count,readiness,0.5424438484595118,3.924417876248518e-05,51,0.0027730471499189
sensitivity_Z1,p11,Exercise_Calories,readiness,0.5024545892591243,0.0001718541286738,51,0.0080348470886318
sensitivity_Z1,p11,Deep_Sleep_Minutes,fatigue,0.4161529482862189,0.0023868722870897,51,0.046025124318447
sensitivity_Z1,p14,Sleep_Composition,sleep_quality,0.4501919509395188,0.0021673021298075,44,0.0438623605673998
sensitivity_Z1,p16,Sleep_Duration_Score,fatigue,0.6179378348950635,0.0001642201541499,32,0.0080348470886318
sensitivity_Z1,p16,Deep_Sleep_Minutes,fatigue,0.521142299018684,0.0022252606826753,32,0.0438623605673998
sensitivity_Z1,p16,Sleep_Score,fatigue,0.5289522051917255,0.0018545976080379,32,0.0401226360568199
seven_day,p01,Sleep_Duration_Score,stress,-0.4574834704540815,0.0001852673129326,62,0.0271318511420757
seven_day,p01,Sleep_Score,stress,-0.454705381979552,0.0002050265829376,62,0.0271318511420757
seven_day,p06,Exercise_Count,stress,0.5270769603938563,4.598417324314309e-06,67,0.0012170477851685
seven_day,p06,Exercise_Duration,stress,0.5987036152482487,8.72463856935557e-08,67,6.927363024068324e-05
seven_day,p06,Exercise_Calories,stress,0.5718341762701042,4.31202864001625e-07,67,0.0001711875370086
seven_day,p07,Exercise_Avg_HR,stress,0.6073835163686799,0.0001779879999519,33,0.0271318511420757
