Participant,Target,Feature,Importance
p01,readiness_next_day_change,Sleep_Restlessness_deviation,0.0013199615138551597
p01,readiness_next_day_change,Sleep_Restlessness_z,0.0021308025394907396
p01,readiness_next_day_change,Sleep_Restlessness_abs_z,0.013939669323320773
p01,readiness_next_day_change,Sleep_Restlessness_7d_mean,0.0017508698461051223
p01,readiness_next_day_change,Sleep_Restlessness_7d_std,0.0068791041382706905
p01,readiness_next_day_change,Sleep_Restlessness_1d_change,0.0065379331880176155
p01,readiness_next_day_change,Sleep_Composition,0.0013005703653413642
p01,readiness_next_day_change,Sleep_Composition_deviation,0.001252536584284817
p01,readiness_next_day_change,Sleep_Composition_z,0.001322645657544038
p01,readiness_next_day_change,Sleep_Composition_abs_z,0.004459342967369928
p01,readiness_next_day_change,Sleep_Composition_7d_mean,0.0029507752141322875
p01,readiness_next_day_change,Sleep_Composition_7d_std,0.002957440901824924
p01,readiness_next_day_change,Sleep_Composition_1d_change,0.009680537676093878
p01,readiness_next_day_change,Sleep_Revitalization,0.005362815678911955
p01,readiness_next_day_change,Sleep_Revitalization_deviation,0.005090608747392945
p01,readiness_next_day_change,Sleep_Revitalization_z,0.00559847477997896
p01,readiness_next_day_change,Sleep_Revitalization_abs_z,0.010279787722798299
p01,readiness_next_day_change,Sleep_Revitalization_7d_mean,0.00315311092482538
p01,readiness_next_day_change,Sleep_Revitalization_7d_std,0.00227156089287129
p01,readiness_next_day_change,Sleep_Revitalization_1d_change,0.013414635282058907
p01,readiness_next_day_change,Sleep_Score,0.0017790741259161053
p01,readiness_next_day_change,Sleep_Score_deviation,0.0010821530721090088
p01,readiness_next_day_change,Sleep_Score_z,0.001262832526779555
p01,readiness_next_day_change,Sleep_Score_abs_z,0.00310207747503796
p01,readiness_next_day_change,Sleep_Score_7d_mean,0.006456214008062319
p01,readiness_next_day_change,Sleep_Score_7d_std,0.008387254253014354
p01,readiness_next_day_change,Sleep_Score_1d_change,0.0020910483979224783
p01,sleep_quality_next_day_change,Steps,0.0014994144062100265
p01,sleep_quality_next_day_change,Steps_deviation,0.0016417389911536167
