Participant,Behavior_Variable,Targets,Mean_Total_Importance,Mean_Relative_Importance,Max_Relative_Importance,Top3_Target_Count
p03,Exercise_Count,5,0.023679548874279685,0.024310800575154112,0.05825940917408399,0
p03,Exercise_Distance,5,0.0012714905588873198,0.001271490558887324,0.006357452794436619,0
p04,Deep_Sleep_Minutes,5,0.11997064119795697,0.1199706411979575,0.20138940159589505,3
p04,Steps,5,0.10897073401282475,0.1089707340128252,0.15664952191157036,3
p04,Sleep_Score,5,0.09758738466057068,0.0975873846605711,0.2105276409083871,2
p04,Sleep_Hours,5,0.09312709046108456,0.09312709046108496,0.17505398825366325,1
p04,Sleep_Duration_Score,5,0.09230404025827794,0.09230404025827833,0.138984747280544,2
p04,Sleep_Restlessness,5,0.08690552424800528,0.08690552424800566,0.11289883232075679,1
p04,Exercise_Duration,5,0.08502066245831255,0.08502066245831291,0.13080439461905666,2
p04,Exercise_Calories,5,0.07460219920834674,0.07460219920834707,0.08964816297467909,0
p04,Exercise_Avg_HR,5,0.06610511223441082,0.0661051122344111,0.09719958530085893,1
p04,Sleep_Revitalization,5,0.057046492017515396,0.057046492017515646,0.07427680169310213,0
p04,Exercise_Distance,5,0.05045047949267496,0.050450479492675185,0.056954018276656346,0
p04,Sleep_Composition,5,0.04702493750882254,0.047024937508822744,0.060594445087418666,0
p04,Exercise_Count,5,0.02088470224119249,0.02088470224119258,0.025450292054479115,0
p05,Exercise_Avg_HR,5,0.16389035180970513,0.16389035180970585,0.3008544958985912,5
p05,Steps,5,0.1636111529568955,0.1636111529568962,0.2511388997003309,5
p05,Sleep_Score,5,0.10174797494003365,0.1017479749400341,0.2812445216713966,1
p05,Deep_Sleep_Minutes,5,0.0967783792133895,0.09677837921338991,0.15266883568262557,3
p05,Sleep_Restlessness,5,0.08230136955594976,0.0823013695559501,0.13557392637357712,1
p05,Sleep_Hours,5,0.06445211113349605,0.06445211113349633,0.08175756843971667,0
p05,Exercise_Duration,5,0.06423704131291176,0.06423704131291204,0.07954083388696191,0
p05,Sleep_Duration_Score,5,0.05898523733737458,0.05898523733737484,0.07350943886266594,0
p05,Exercise_Calories,5,0.05309258434879725,0.05309258434879749,0.0774390686475928,0
p05,Sleep_Composition,5,0.05005536557330044,0.05005536557330066,0.0684011294866581,0
p05,Sleep_Revitalization,5,0.048122642227203014,0.04812264222720323,0.064771512331314,0
p05,Exercise_Count,5,0.046043141069925894,0.0460431410699261,0.090841115636654,0
p05,Exercise_Distance,5,0.006682648521013105,0.006682648521013135,0.010267934828956245,0
p06,Steps,5,0.13653269389061623,0.13653269389061684,0.21111199949527004,3
p06,Sleep_Hours,5,0.113200838111076,0.11320083811107651,0.19567039889944343,2
p06,Deep_Sleep_Minutes,5,0.11187515278713127,0.11187515278713178,0.2304587343448182,2
p06,Sleep_Score,5,0.09395953350334192,0.09395953350334232,0.1887963475697572,2
p06,Sleep_Restlessness,5,0.09080549164857636,0.09080549164857676,0.11199293571694659,2
p06,Exercise_Duration,5,0.08154545225030364,0.081545452250304,0.12674317280838196,1
p06,Sleep_Composition,5,0.07432785577170578,0.07432785577170611,0.13591541312815414,1
p06,Exercise_Calories,5,0.06944511366494008,0.06944511366494038,0.1843452949775628,1
p06,Sleep_Duration_Score,5,0.0642132259008145,0.06421322590081478,0.09560050897543901,0
p06,Exercise_Avg_HR,5,0.061173525881709954,0.06117352588171023,0.10886846615887016,1
p06,Sleep_Revitalization,5,0.04909098469662522,0.04909098469662544,0.07728541740570653,0
p06,Exercise_Distance,5,0.03619525280624938,0.03619525280624954,0.06782708550773558,0
p06,Exercise_Count,5,0.017634879086905204,0.017634879086905288,0.028210200021076527,0
p07,Exercise_Avg_HR,5,0.11550774138353856,0.11550774138353907,0.1494475187663912,3
p07,Deep_Sleep_Minutes,5,0.09702688564798789,0.09702688564798831,0.16615250965326353,2
