Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p07_daily_merged,fatigue,Steps,0.1215244412267035,0.12152444122670407,7,2.0
p07_daily_merged,fatigue,Exercise_Calories,0.1180801628438905,0.11808016284389104,7,3.0
p07_daily_merged,mood,Exercise_Avg_HR,0.1782295676000787,0.17822956760007946,7,1.0
p07_daily_merged,mood,Deep_Sleep_Minutes,0.1342673641801324,0.134267364180133,7,2.0
p07_daily_merged,mood,Exercise_Duration,0.1058086558202746,0.10580865582027506,7,3.0
p07_daily_merged,readiness,Sleep_Restlessness,0.16480838980873938,0.16480838980874013,7,1.0
p07_daily_merged,readiness,Exercise_Duration,0.1414321342771403,0.14143213427714094,7,2.0
p07_daily_merged,readiness,Steps,0.103220476511731,0.10322047651173145,7,3.0
p07_daily_merged,sleep_quality,Sleep_Duration_Score,0.2047902620933643,0.20479026209336523,7,1.0
p07_daily_merged,sleep_quality,Sleep_Hours,0.1493589710259442,0.14935897102594486,7,2.0
p07_daily_merged,sleep_quality,Sleep_Score,0.0969065249273737,0.09690652492737414,7,3.0
p07_daily_merged,stress,Steps,0.14531019593627992,0.14531019593628053,7,1.0
p07_daily_merged,stress,Deep_Sleep_Minutes,0.1183077198153527,0.11830771981535321,7,2.0
p07_daily_merged,stress,Exercise_Calories,0.1148032882186151,0.11480328821861557,7,3.0
p08_daily_merged,fatigue,Exercise_Distance,0.2046629086751297,0.20466290867513076,7,1.0
p08_daily_merged,fatigue,Sleep_Hours,0.0950878567488687,0.09508785674886919,7,2.0
p08_daily_merged,fatigue,Sleep_Score,0.0939407500929828,0.09394075009298328,7,3.0
p08_daily_merged,mood,Sleep_Hours,0.1379652606020223,0.13796526060202288,7,1.0
p08_daily_merged,mood,Deep_Sleep_Minutes,0.1377752118674638,0.1377752118674644,7,2.0
p08_daily_merged,mood,Sleep_Restlessness,0.1170321694235555,0.117032169423556,7,3.0
p08_daily_merged,readiness,Sleep_Revitalization,0.1485914687879224,0.14859146878792306,7,1.0
p08_daily_merged,readiness,Sleep_Restlessness,0.1070634216842882,0.10706342168428869,7,2.0
p08_daily_merged,readiness,Exercise_Calories,0.1051859645295407,0.10518596452954118,7,3.0
p08_daily_merged,sleep_quality,Sleep_Restlessness,0.1365522472687408,0.1365522472687414,7,1.0
p08_daily_merged,sleep_quality,Exercise_Avg_HR,0.11957366305658709,0.11957366305658762,7,2.0
p08_daily_merged,sleep_quality,Sleep_Revitalization,0.11169672590598301,0.1116967259059835,7,3.0
p08_daily_merged,stress,Exercise_Distance,0.1600633737719146,0.1600633737719152,7,1.0
p08_daily_merged,stress,Sleep_Duration_Score,0.1501627575367904,0.15016275753679095,7,2.0
p08_daily_merged,stress,Exercise_Avg_HR,0.12869404850472999,0.12869404850473048,7,3.0
p09_daily_merged,fatigue,Sleep_Duration_Score,0.1703263831118604,0.17032638311186116,7,1.0
p09_daily_merged,fatigue,Sleep_Hours,0.1611495709759762,0.16114957097597693,7,2.0
p09_daily_merged,fatigue,Steps,0.1574162631995421,0.1574162631995428,7,3.0
p09_daily_merged,mood,Sleep_Restlessness,0.171818359449769,0.17181835944976964,7,1.0
p09_daily_merged,mood,Sleep_Duration_Score,0.1600986989000979,0.1600986989000985,7,2.0
p09_daily_merged,mood,Steps,0.14062575144348471,0.14062575144348524,7,3.0
p09_daily_merged,readiness,Sleep_Score,0.2115416123739128,0.2115416123739136,7,1.0
p09_daily_merged,readiness,Sleep_Hours,0.1720728327587177,0.17207283275871837,7,2.0
p09_daily_merged,readiness,Steps,0.1556315172578338,0.15563151725783442,7,3.0
p09_daily_merged,sleep_quality,Sleep_Duration_Score,0.2723397208102326,0.2723397208102336,7,1.0
p09_daily_merged,sleep_quality,Steps,0.1397181850459297,0.13971818504593023,7,2.0
p09_daily_merged,sleep_quality,Sleep_Restlessness,0.123933963774323,0.12393396377432346,7,3.0
p09_daily_merged,stress,Steps,0.27457170409581744,0.2745717040958185,7,1.0
p09_daily_merged,stress,Sleep_Restlessness,0.127260552582826,0.1272605525828265,7,2.0
p09_daily_merged,stress,Sleep_Revitalization,0.1240932002804645,0.12409320028046499,7,3.0
p10_daily_merged,fatigue,Sleep_Duration_Score,0.2605921270008135,0.2605921270008146,7,1.0
