Participant,Variable,Status,First_10_Days_All_Missing,Total_Missing,Total_Rows,Missing_Percent
p05_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,29.0,134,21.641791044776117
p05_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,30.0,134,22.388059701492537
p05_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,29.0,134,21.641791044776117
p05_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,30.0,134,22.388059701492537
p05_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,30.0,134,22.388059701492537
p05_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,30.0,134,22.388059701492537
p05_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,30.0,134,22.388059701492537
p06_daily_merged,Steps,Available,False,0.0,147,0.0
p06_daily_merged,Exercise_Count,Available,False,0.0,147,0.0
p06_daily_merged,Exercise_Duration,Available,False,0.0,147,0.0
p06_daily_merged,Exercise_Distance,Available,False,0.0,147,0.0
p06_daily_merged,Exercise_Calories,Available,False,0.0,147,0.0
p06_daily_merged,Exercise_Avg_HR,Available,False,59.0,147,40.136054421768705
p06_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,1.0,147,0.6802721088435374
p06_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,4.0,147,2.7210884353741496
p06_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,1.0,147,0.6802721088435374
p06_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,4.0,147,2.7210884353741496
p06_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,4.0,147,2.7210884353741496
p06_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,4.0,147,2.7210884353741496
p06_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,4.0,147,2.7210884353741496
p07_daily_merged,Steps,Available,False,0.0,132,0.0
p07_daily_merged,Exercise_Count,Available,False,0.0,132,0.0
p07_daily_merged,Exercise_Duration,Available,False,0.0,132,0.0
p07_daily_merged,Exercise_Distance,Available,False,0.0,132,0.0
p07_daily_merged,Exercise_Calories,Available,False,0.0,132,0.0
p07_daily_merged,Exercise_Avg_HR,Available,False,20.0,132,15.151515151515152
p07_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,5.0,132,3.787878787878788
p07_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,6.0,132,4.545454545454546
p07_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,5.0,132,3.787878787878788
p07_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,6.0,132,4.545454545454546
p07_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,6.0,132,4.545454545454546
p07_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,6.0,132,4.545454545454546
p07_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,6.0,132,4.545454545454546
p08_daily_merged,Steps,Available,False,3.0,103,2.912621359223301
p08_daily_merged,Exercise_Count,Available,False,0.0,103,0.0
p08_daily_merged,Exercise_Duration,Available,False,0.0,103,0.0
p08_daily_merged,Exercise_Distance,Available,False,0.0,103,0.0
p08_daily_merged,Exercise_Calories,Available,False,0.0,103,0.0
p08_daily_merged,Exercise_Avg_HR,Available,False,12.0,103,11.650485436893204
p08_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p08_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p08_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p08_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p08_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p08_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p08_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,9.0,103,8.737864077669903
p09_daily_merged,Steps,Available,False,1.0,102,0.9803921568627451
p09_daily_merged,Exercise_Count,Available,False,0.0,102,0.0
p09_daily_merged,Exercise_Duration,Available,False,0.0,102,0.0
p09_daily_merged,Exercise_Distance,Available,False,0.0,102,0.0
p09_daily_merged,Exercise_Calories,Available,False,0.0,102,0.0
p09_daily_merged,Exercise_Avg_HR,Available,False,72.0,102,70.58823529411765
p09_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,8.0,102,7.8431372549019605
p09_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,10.0,102,9.803921568627452
p09_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,8.0,102,7.8431372549019605
p09_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,10.0,102,9.803921568627452
p09_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,10.0,102,9.803921568627452
p09_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,10.0,102,9.803921568627452
p09_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,10.0,102,9.803921568627452
p10_daily_merged,Steps,Available,False,1.0,95,1.0526315789473684
p10_daily_merged,Exercise_Count,Available,False,0.0,95,0.0
