Participant,Wellbeing,Target,N_Observations,N_Test_Predictions,MAE,RMSE,R2,N_Features
p04_daily_merged,sleep_quality,NextDayChange_sleep_quality,136,102,1.0677943135296077,1.2922318199745626,0.02089407977480684,91
p04_daily_merged,stress,NextDayChange_stress,136,102,0.974223667672197,1.3093673764900262,-0.09295736571793856,91
p05_daily_merged,fatigue,NextDayChange_fatigue,116,87,0.35843446496032705,0.5291842409110861,-0.625454131527603,91
p05_daily_merged,mood,NextDayChange_mood,116,87,0.5034731647662681,0.7060925359988252,-0.2429680898015567,91
p05_daily_merged,readiness,NextDayChange_readiness,116,87,0.6955470385297972,1.3131781997705085,-0.35284655208998483,91
p05_daily_merged,sleep_quality,NextDayChange_sleep_quality,116,87,0.3756288708099053,0.5354975918716472,-0.2502700524450594,91
p05_daily_merged,stress,NextDayChange_stress,116,87,0.48398511099373154,0.7041560059507518,-0.07968362121498962,91
p06_daily_merged,fatigue,NextDayChange_fatigue,143,105,0.4645806912664056,0.6197374661776692,-0.0902218486102222,91
p06_daily_merged,mood,NextDayChange_mood,143,105,0.20735509384795095,0.33698132347221377,-0.19234232987539035,91
p06_daily_merged,readiness,NextDayChange_readiness,143,105,1.7420354061282632,2.1314239692202603,0.17734998184010098,91
p06_daily_merged,sleep_quality,NextDayChange_sleep_quality,143,105,0.8204174933532077,1.0540173711266796,-0.0608221566317928,91
p06_daily_merged,stress,NextDayChange_stress,143,105,0.4319124671624671,0.6209533097312557,0.03604246783449783,91
p07_daily_merged,fatigue,NextDayChange_fatigue,122,90,0.4387594812594813,0.6797516235924302,-0.18853743575421267,91
p07_daily_merged,mood,NextDayChange_mood,122,90,0.4793535076035076,0.6616469302590052,-0.03805355638215335,91
p07_daily_merged,readiness,NextDayChange_readiness,122,90,1.2501947416780748,1.6082452752330036,-0.25834994348039886,91
p07_daily_merged,sleep_quality,NextDayChange_sleep_quality,122,90,0.823951402609736,1.0031175708057734,-0.008236439010407492,91
p07_daily_merged,stress,NextDayChange_stress,122,90,0.7339867379534046,0.9166330898959776,-0.14652146126806032,91
p08_daily_merged,fatigue,NextDayChange_fatigue,82,60,0.8977370606245605,1.1254145395419508,-0.11864778923570074,91
p08_daily_merged,mood,NextDayChange_mood,82,60,0.6987717652717652,0.9211974235209934,-0.27503209314114363,91
p08_daily_merged,readiness,NextDayChange_readiness,82,60,1.4407672582047581,1.8617058873781258,-0.011463660826374067,91
p08_daily_merged,sleep_quality,NextDayChange_sleep_quality,82,60,0.9420787004662005,1.1453391450521804,0.08673635159932469,91
p08_daily_merged,stress,NextDayChange_stress,82,60,0.9837001202501202,1.1686813044211213,-0.09289565874470607,91
p09_daily_merged,fatigue,NextDayChange_fatigue,79,57,1.1312537963985332,1.402934385762549,-0.15679498373060796,91
p09_daily_merged,mood,NextDayChange_mood,79,57,0.5839498386603651,0.7596079886443762,-0.13479840135819643,91
p09_daily_merged,readiness,NextDayChange_readiness,79,57,1.0222420177288598,1.2904158733324762,-0.03247089443820772,91
p09_daily_merged,sleep_quality,NextDayChange_sleep_quality,79,57,0.5254417862838916,0.7429507011591023,-0.30332063474000903,91
p09_daily_merged,stress,NextDayChange_stress,79,57,0.7642428862560442,0.9774840550941185,0.056432058266695395,91
p10_daily_merged,fatigue,NextDayChange_fatigue,83,60,0.7922936785436785,0.9562729974248828,0.06342845969436939,91
p10_daily_merged,mood,NextDayChange_mood,83,60,0.6204515632515634,0.7999285785608006,-0.12921011317347575,91
p10_daily_merged,readiness,NextDayChange_readiness,83,60,1.3891971893846893,1.684131588488641,-0.1741809046047591,91
p10_daily_merged,sleep_quality,NextDayChange_sleep_quality,83,60,0.9397892316017317,1.222809467316976,-0.09498510498293267,91
p10_daily_merged,stress,NextDayChange_stress,83,60,0.5278858969733969,0.7006717109703814,-0.17904406110405735,91
p11_daily_merged,fatigue,NextDayChange_fatigue,99,72,0.37045245109828445,0.5411841004518345,-0.004825357601832447,91
p11_daily_merged,mood,NextDayChange_mood,99,72,0.15783234473859473,0.24467523824714643,-1.1551749996067233,91
p11_daily_merged,readiness,NextDayChange_readiness,99,72,1.2613419165710833,1.588190093698143,0.010304960719858314,91
p11_daily_merged,sleep_quality,NextDayChange_sleep_quality,99,72,0.6493451278659612,0.8647101413426409,-0.12288507831852824,91
p11_daily_merged,stress,NextDayChange_stress,99,72,0.21624098625140292,0.42430394379439845,-0.1798930588543417,91
p12_daily_merged,fatigue,NextDayChange_fatigue,53,39,0.9332435185896727,1.1188577755655131,-0.5762026325131817,91
p12_daily_merged,mood,NextDayChange_mood,53,39,0.25996176046176045,0.4910998239341951,-0.1910172577296374,91
p12_daily_merged,readiness,NextDayChange_readiness,53,39,1.6288844410575178,2.187235655515271,-0.2887820962103935,91
p12_daily_merged,sleep_quality,NextDayChange_sleep_quality,53,39,0.7182837902837904,0.9113270793258303,-0.04570896210644504,91
p12_daily_merged,stress,NextDayChange_stress,53,39,0.2942257372257372,0.5098738357075495,-0.12976111543947266,91
p13_daily_merged,fatigue,NextDayChange_fatigue,36,27,1.0190985382929827,1.2941616493243921,-0.1877128784730553,91
p13_daily_merged,mood,NextDayChange_mood,36,27,0.9013510769066324,1.0814365544273092,-0.0296728991454398,91
p13_daily_merged,readiness,NextDayChange_readiness,36,27,2.117171596921597,2.6841060118014655,-0.1952721632242176,91
p13_daily_merged,sleep_quality,NextDayChange_sleep_quality,36,27,1.1206283202394314,1.2945115979098902,-0.16124452663766675,91
p13_daily_merged,stress,NextDayChange_stress,36,27,0.6482701352145797,0.9953958858659614,-0.12158797335028737,91
