Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p02_daily_merged,readiness,Exercise_Count,0.0085490346488051,0.008549034648805135,7,13.0
p02_daily_merged,readiness,Exercise_Distance,0.0664682913377519,0.06646829133775217,7,5.0
p02_daily_merged,readiness,Exercise_Duration,0.0459122317404962,0.04591223174049639,7,8.0
p02_daily_merged,readiness,Sleep_Composition,0.0242869702328351,0.0242869702328352,7,12.0
p02_daily_merged,readiness,Sleep_Duration_Score,0.0404715730801581,0.040471573080158266,7,10.0
p02_daily_merged,readiness,Sleep_Hours,0.0463607168389864,0.04636071683898659,7,7.0
p02_daily_merged,readiness,Sleep_Restlessness,0.111384775769386,0.11138477576938646,7,2.0
p02_daily_merged,readiness,Sleep_Revitalization,0.0558656720072446,0.05586567200724483,7,6.0
p02_daily_merged,readiness,Sleep_Score,0.0354531353247804,0.035453135324780546,7,11.0
p02_daily_merged,readiness,Steps,0.3694680869865201,0.3694680869865216,7,1.0
p02_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.1813518297828331,0.18135182978283354,7,2.0
p02_daily_merged,sleep_quality,Exercise_Avg_HR,0.29002551396101,0.29002551396101073,7,1.0
p02_daily_merged,sleep_quality,Exercise_Calories,0.11154379619067278,0.11154379619067306,7,4.0
p02_daily_merged,sleep_quality,Exercise_Count,0.0044085171230925,0.004408517123092511,7,13.0
p02_daily_merged,sleep_quality,Exercise_Distance,0.0401071338549825,0.040107133854982595,7,7.0
p02_daily_merged,sleep_quality,Exercise_Duration,0.0299241873638725,0.029924187363872572,7,10.0
p02_daily_merged,sleep_quality,Sleep_Composition,0.0321701747277328,0.032170174727732884,7,9.0
p02_daily_merged,sleep_quality,Sleep_Duration_Score,0.0253674966259023,0.02536749662590236,7,12.0
p02_daily_merged,sleep_quality,Sleep_Hours,0.1221622945896271,0.12216229458962741,7,3.0
p02_daily_merged,sleep_quality,Sleep_Restlessness,0.0482710123224973,0.04827101232249742,7,6.0
p02_daily_merged,sleep_quality,Sleep_Revitalization,0.029100184924297202,0.029100184924297272,7,11.0
p02_daily_merged,sleep_quality,Sleep_Score,0.049222450695869,0.04922245069586912,7,5.0
