Participant,Variable,Status
p13_daily_merged,Exercise_Count,Active
p13_daily_merged,Exercise_Duration,Active
p13_daily_merged,Exercise_Distance,Active
p13_daily_merged,Exercise_Calories,Active
p13_daily_merged,Exercise_Avg_HR,Active
p13_daily_merged,Sleep_Hours,Active
p13_daily_merged,Sleep_Duration_Score,Active
p13_daily_merged,Deep_Sleep_Minutes,Active
p13_daily_merged,Sleep_Restlessness,Active
p13_daily_merged,Sleep_Composition,Active
p13_daily_merged,Sleep_Revitalization,Active
p13_daily_merged,Sleep_Score,Active
p14_daily_merged,Steps,Active
p14_daily_merged,Exercise_Count,Active
p14_daily_merged,Exercise_Duration,Active
p14_daily_merged,Exercise_Distance,Active
p14_daily_merged,Exercise_Calories,Active
p14_daily_merged,Exercise_Avg_HR,Active
p14_daily_merged,Sleep_Hours,Active
p14_daily_merged,Sleep_Duration_Score,Active
p14_daily_merged,Deep_Sleep_Minutes,Active
p14_daily_merged,Sleep_Restlessness,Active
p14_daily_merged,Sleep_Composition,Active
p14_daily_merged,Sleep_Revitalization,Active
p14_daily_merged,Sleep_Score,Active
p15_daily_merged,Steps,Active
p15_daily_merged,Exercise_Count,Active
p15_daily_merged,Exercise_Duration,Active
p15_daily_merged,Exercise_Distance,Active
p15_daily_merged,Exercise_Calories,Active
p15_daily_merged,Exercise_Avg_HR,Active
p15_daily_merged,Sleep_Hours,Active
p15_daily_merged,Sleep_Duration_Score,Active
p15_daily_merged,Deep_Sleep_Minutes,Active
p15_daily_merged,Sleep_Restlessness,Active
p15_daily_merged,Sleep_Composition,Active
p15_daily_merged,Sleep_Revitalization,Active
p15_daily_merged,Sleep_Score,Active
p16_daily_merged,Steps,Active
p16_daily_merged,Exercise_Count,Active
p16_daily_merged,Exercise_Duration,Active
p16_daily_merged,Exercise_Distance,Active
p16_daily_merged,Exercise_Calories,Active
p16_daily_merged,Exercise_Avg_HR,Active
p16_daily_merged,Sleep_Hours,Active
p16_daily_merged,Sleep_Duration_Score,Active
p16_daily_merged,Deep_Sleep_Minutes,Active
p16_daily_merged,Sleep_Restlessness,Active
p16_daily_merged,Sleep_Composition,Active
p16_daily_merged,Sleep_Revitalization,Active
p16_daily_merged,Sleep_Score,Active
