Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Time_Lag,p_FDR,Significant_raw,Significant_FDR,Analysis
p02,Exercise_Calories,stress,0.1585753076163275,0.4026143017358004,30,t_to_t+1,0.9396469143985654,False,False,lagged
p02,Exercise_Avg_HR,fatigue,,,28,t_to_t+1,,False,False,lagged
p02,Exercise_Avg_HR,mood,0.2994759445727536,0.1215722064302339,28,t_to_t+1,0.7702639636506637,False,False,lagged
p02,Exercise_Avg_HR,readiness,0.0208011250514391,0.9163265938514316,28,t_to_t+1,0.985568661386193,False,False,lagged
p02,Exercise_Avg_HR,sleep_quality,-0.2539205929442268,0.1922829426773961,28,t_to_t+1,0.8181327973063259,False,False,lagged
p02,Exercise_Avg_HR,stress,0.2994759445727536,0.1215722064302339,28,t_to_t+1,0.7702639636506637,False,False,lagged
p02,Sleep_Hours,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Sleep_Hours,mood,-0.335806601322202,0.0696427279522206,30,t_to_t+1,0.7183663930407308,False,False,lagged
p02,Sleep_Hours,readiness,0.2565769733273776,0.1711070948579203,30,t_to_t+1,0.7922650645572069,False,False,lagged
p02,Sleep_Hours,sleep_quality,-0.1266370282769977,0.5048748021450923,30,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Sleep_Hours,stress,0.05409627939719,0.7764753455841231,30,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Sleep_Duration_Score,fatigue,,,28,t_to_t+1,,False,False,lagged
p02,Sleep_Duration_Score,mood,0.0497737556561086,0.8014077043815642,28,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Sleep_Duration_Score,readiness,0.0097390791804818,0.9607712020155104,28,t_to_t+1,0.9968734616817866,False,False,lagged
p02,Sleep_Duration_Score,sleep_quality,0.0135746606334842,0.9453411109654236,28,t_to_t+1,0.9944195121499556,False,False,lagged
p02,Sleep_Duration_Score,stress,0.0497737556561086,0.8014077043815642,28,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Deep_Sleep_Minutes,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Deep_Sleep_Minutes,mood,-0.1356651947223595,0.4747265184947057,30,t_to_t+1,0.9542543266297336,False,False,lagged
p02,Deep_Sleep_Minutes,readiness,0.1333913403408373,0.482230474056271,30,t_to_t+1,0.9542543266297336,False,False,lagged
p02,Deep_Sleep_Minutes,sleep_quality,-0.1072581293153122,0.572654940972528,30,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Deep_Sleep_Minutes,stress,0.1015730694576101,0.5932837278999349,30,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Sleep_Restlessness,fatigue,,,28,t_to_t+1,,False,False,lagged
p02,Sleep_Restlessness,mood,0.3021953927641185,0.1180618011942659,28,t_to_t+1,0.7702639636506637,False,False,lagged
p02,Sleep_Restlessness,readiness,0.3567899010021925,0.0623563096783287,28,t_to_t+1,0.7012730348760812,False,False,lagged
p02,Sleep_Restlessness,sleep_quality,0.1043980023642995,0.5970243011889009,28,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Sleep_Restlessness,stress,0.3021953927641185,0.1180618011942659,28,t_to_t+1,0.7702639636506637,False,False,lagged
p02,Sleep_Composition,fatigue,,,28,t_to_t+1,,False,False,lagged
p02,Sleep_Composition,mood,0.0368237552566429,0.8524196661284793,28,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Sleep_Composition,readiness,-0.2439875815097048,0.2108570963169503,28,t_to_t+1,0.8513360248470185,False,False,lagged
p02,Sleep_Composition,sleep_quality,0.0777390388751351,0.6941735032209575,28,t_to_t+1,0.9740705284594343,False,False,lagged
p02,Sleep_Composition,stress,0.0368237552566429,0.8524196661284793,28,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Sleep_Revitalization,fatigue,,,28,t_to_t+1,,False,False,lagged
p02,Sleep_Revitalization,mood,0.0252071360159704,0.8986852985583963,28,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Sleep_Revitalization,readiness,0.1922834054408271,0.3269542260464165,28,t_to_t+1,0.917607070132456,False,False,lagged
p02,Sleep_Revitalization,sleep_quality,-0.2898820641836604,0.1345703387697483,28,t_to_t+1,0.7847776771997022,False,False,lagged
p02,Sleep_Revitalization,stress,0.0252071360159704,0.8986852985583963,28,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Sleep_Score,fatigue,,,28,t_to_t+1,,False,False,lagged
p02,Sleep_Score,mood,0.0621246771192789,0.7534840394626398,28,t_to_t+1,0.9812191855948904,False,False,lagged
p02,Sleep_Score,readiness,0.0090755572428978,0.9634420287899323,28,t_to_t+1,0.9968734616817866,False,False,lagged
p02,Sleep_Score,sleep_quality,-0.1067270094100433,0.588820399658389,28,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Sleep_Score,stress,0.0621246771192789,0.7534840394626398,28,t_to_t+1,0.9812191855948904,False,False,lagged
p03,Steps,fatigue,-0.4744041987217952,0.0401481247561518,19,t_to_t+1,0.6277706780052826,True,False,lagged
p03,Steps,mood,0.058969938808796,0.8104840408328434,19,t_to_t+1,0.9835127913656734,False,False,lagged
p03,Steps,readiness,,,19,t_to_t+1,,False,False,lagged
p03,Steps,sleep_quality,,,19,t_to_t+1,,False,False,lagged
p03,Steps,stress,-0.0364115985556032,0.8823523883159906,19,t_to_t+1,0.9835127913656734,False,False,lagged
p03,Exercise_Count,fatigue,-0.1419332389509148,0.5621716804971628,19,t_to_t+1,0.9580452904411608,False,False,lagged
p03,Exercise_Count,mood,0.2052589876012252,0.399232418955138,19,t_to_t+1,0.9396469143985654,False,False,lagged
p03,Exercise_Count,readiness,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Count,sleep_quality,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Count,stress,-0.0975342893301087,0.6911985825521617,19,t_to_t+1,0.9740705284594343,False,False,lagged
p03,Exercise_Duration,fatigue,-0.4039372053327419,0.0863151023655949,19,t_to_t+1,0.7555616837580037,False,False,lagged
p03,Exercise_Duration,mood,0.1080014130041349,0.6598657324518433,19,t_to_t+1,0.973569592924696,False,False,lagged
p03,Exercise_Duration,readiness,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Duration,sleep_quality,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Duration,stress,-0.1315734018129104,0.5913204826822283,19,t_to_t+1,0.9580452904411608,False,False,lagged
p03,Exercise_Distance,fatigue,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Distance,mood,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Distance,readiness,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Distance,sleep_quality,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Distance,stress,,,19,t_to_t+1,,False,False,lagged
