Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Analysis,Objective_Variable,Wellness_Variable,Time_Lag,Sensitivity_Threshold
p02,Exercise_Distance,stress,0.2191948041205255,0.1261640109251284,50,Yes,0.39055581192069744,False,False,same_day,,,,
p02,Exercise_Calories,fatigue,0.0270455486910099,0.8521013711521924,50,Yes,0.9352332122402112,False,False,same_day,,,,
p02,Exercise_Calories,mood,0.1335306076021934,0.3552408745938508,50,Yes,0.6660573335977015,False,False,same_day,,,,
p02,Exercise_Calories,readiness,0.5452740040047641,4.226391389944765e-05,50,Yes,0.00292596326996176,True,True,same_day,,,,
p02,Exercise_Calories,sleep_quality,0.046908720033267,0.7463291982398162,50,Yes,0.9096883708842638,False,False,same_day,,,,
p02,Exercise_Calories,stress,0.067677223671793,0.6405124941877852,50,Yes,0.8611802085822964,False,False,same_day,,,,
p02,Exercise_Avg_HR,fatigue,0.0170508564461802,0.9084243850241138,48,Yes,0.9596032236170217,False,False,same_day,,,,
p02,Exercise_Avg_HR,mood,0.0734826759508239,0.6196439417945147,48,Yes,0.846232220608428,False,False,same_day,,,,
p02,Exercise_Avg_HR,readiness,0.2273854045818304,0.1201166019767634,48,Yes,0.37931558518977915,False,False,same_day,,,,
p02,Exercise_Avg_HR,sleep_quality,-0.1509338338506457,0.3058271944542184,48,Yes,0.6255556250199922,False,False,same_day,,,,
p02,Exercise_Avg_HR,stress,-0.0803236345925609,0.5873311958988794,48,Yes,0.829824295618511,False,False,same_day,,,,
p02,Sleep_Hours,fatigue,-0.0210100948139663,0.8860613675040164,49,Yes,0.950482992554964,False,False,same_day,,,,
p02,Sleep_Hours,mood,0.0489873816885418,0.7381832994360341,49,Yes,0.9076296729271508,False,False,same_day,,,,
p02,Sleep_Hours,readiness,0.1665456925087226,0.2527341605577307,49,Yes,0.5676852489168229,False,False,same_day,,,,
p02,Sleep_Hours,sleep_quality,0.0696634993883431,0.6343348803147466,49,Yes,0.8570613851421911,False,False,same_day,,,,
p02,Sleep_Hours,stress,0.0213362073160343,0.8843048000720019,49,Yes,0.949730692201434,False,False,same_day,,,,
p02,Sleep_Duration_Score,fatigue,-0.1359189392892397,0.3623169310420457,47,Yes,0.670957279707492,False,False,same_day,,,,
p02,Sleep_Duration_Score,mood,-0.0890055063171685,0.5518817454065592,47,Yes,0.8149362980264565,False,False,same_day,,,,
p02,Sleep_Duration_Score,readiness,-0.0303687313928136,0.839418049415173,47,Yes,0.9335252300162542,False,False,same_day,,,,
p02,Sleep_Duration_Score,sleep_quality,-0.0311945106565468,0.83511133731745,47,Yes,0.9335252300162542,False,False,same_day,,,,
p02,Sleep_Duration_Score,stress,-0.0801795280007646,0.5921345783145203,47,Yes,0.8326037553379021,False,False,same_day,,,,
p02,Deep_Sleep_Minutes,fatigue,0.1298787564769646,0.3737575477921397,49,Yes,0.6850967851021875,False,False,same_day,,,,
p02,Deep_Sleep_Minutes,mood,-0.1744906530124862,0.2304780446038863,49,Yes,0.5365005655458464,False,False,same_day,,,,
p02,Deep_Sleep_Minutes,readiness,0.0504564297679729,0.7306232343492861,49,Yes,0.9076296729271508,False,False,same_day,,,,
p02,Deep_Sleep_Minutes,sleep_quality,0.2347600909472789,0.1044443168565491,49,Yes,0.36293391957874205,False,False,same_day,,,,
p02,Deep_Sleep_Minutes,stress,-0.2258255321461786,0.1187123624315114,49,Yes,0.37931558518977915,False,False,same_day,,,,
p02,Sleep_Restlessness,fatigue,-0.1243718829889566,0.4048831660140239,47,Yes,0.7061915686291115,False,False,same_day,,,,
p02,Sleep_Restlessness,mood,0.0471191790799311,0.7531344390853396,47,Yes,0.9096883708842638,False,False,same_day,,,,
p02,Sleep_Restlessness,readiness,0.3127221033232008,0.0323399099714763,47,Yes,0.1940394598288578,True,False,same_day,,,,
p02,Sleep_Restlessness,sleep_quality,0.0289759474378568,0.846692352887634,47,Yes,0.9335252300162542,False,False,same_day,,,,
p02,Sleep_Restlessness,stress,0.0375770806415821,0.8019942351927869,47,Yes,0.9264233603453292,False,False,same_day,,,,
p02,Sleep_Composition,fatigue,-0.029577256498927,0.8435502195800859,47,Yes,0.9335252300162542,False,False,same_day,,,,
p02,Sleep_Composition,mood,-0.1117454405018789,0.4545771829747106,47,Yes,0.7483556414269482,False,False,same_day,,,,
p02,Sleep_Composition,readiness,-0.1961068586260346,0.1864652055213769,47,Yes,0.48362733420530035,False,False,same_day,,,,
p02,Sleep_Composition,sleep_quality,0.1789424018185088,0.2287921567326787,47,Yes,0.5351222700552771,False,False,same_day,,,,
p02,Sleep_Composition,stress,-0.1067841824154178,0.4749742861976601,47,Yes,0.7674629399962191,False,False,same_day,,,,
p02,Sleep_Revitalization,fatigue,-0.0814529979930993,0.5862469970320485,47,Yes,0.8295948071208233,False,False,same_day,,,,
p02,Sleep_Revitalization,mood,-0.1905544246666915,0.1994951781977004,47,Yes,0.5043417426346358,False,False,same_day,,,,
p02,Sleep_Revitalization,readiness,0.0492838935875786,0.7421744125425891,47,Yes,0.9076296729271508,False,False,same_day,,,,
p02,Sleep_Revitalization,sleep_quality,0.2493869568183783,0.0909325274068715,47,Yes,0.3424237433731563,False,False,same_day,,,,
p02,Sleep_Revitalization,stress,-0.3227944485000766,0.0268983632411282,47,Yes,0.17027264183585603,True,False,same_day,,,,
p02,Sleep_Score,fatigue,-0.159964793214843,0.2827922558430767,47,Yes,0.6016856507299505,False,False,same_day,,,,
p02,Sleep_Score,mood,-0.2167931795283462,0.1432733926222965,47,Yes,0.4173011435600869,False,False,same_day,,,,
p02,Sleep_Score,readiness,-0.0701169056412095,0.6395483409301348,47,Yes,0.8611802085822964,False,False,same_day,,,,
p02,Sleep_Score,sleep_quality,0.1841848147227241,0.2152191016373177,47,Yes,0.5187809662190659,False,False,same_day,,,,
p02,Sleep_Score,stress,-0.2822810654492072,0.0545544531559985,47,Yes,0.25978311026665957,False,False,same_day,,,,
p03,Steps,fatigue,-0.3406435078543046,0.0338352529205941,39,Yes,0.20047739316121718,True,False,same_day,,,,
p03,Steps,mood,-0.1023337206224715,0.5353156097582992,39,Yes,0.809802024986614,False,False,same_day,,,,
p03,Steps,readiness,,,39,Yes,,False,False,same_day,,,,
p03,Steps,sleep_quality,,,39,Yes,,False,False,same_day,,,,
p03,Steps,stress,0.0867560859887676,0.5994747038432895,39,Yes,0.8326037553379021,False,False,same_day,,,,
p03,Exercise_Count,fatigue,-0.2165152980441133,0.1855319894790814,39,Yes,0.48362733420530035,False,False,same_day,,,,
p03,Exercise_Count,mood,-0.073394495412844,0.6570168384390491,39,Yes,0.8732061831317786,False,False,same_day,,,,
p03,Exercise_Count,readiness,,,39,Yes,,False,False,same_day,,,,
