Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p04,Exercise_Duration,stress,0.1464335192245696,0.21966759850495676,72,Yes
p04,Exercise_Distance,fatigue,0.07304101262999531,0.5420327995859942,72,Yes
p04,Exercise_Distance,mood,0.3133769914604018,0.007352695719133766,72,Yes
p04,Exercise_Distance,readiness,0.19940428723436363,0.09309366887462443,72,Yes
p04,Exercise_Distance,sleep_quality,0.22446837523187965,0.058011652553209864,72,Yes
p04,Exercise_Distance,stress,0.2875604242013985,0.014313400699786122,72,Yes
p04,Exercise_Calories,fatigue,0.011083779963351772,0.9263756246103259,72,Yes
p04,Exercise_Calories,mood,0.18248353256370892,0.12497103125796878,72,Yes
p04,Exercise_Calories,readiness,0.10836470148950678,0.3648911849218081,72,Yes
p04,Exercise_Calories,sleep_quality,0.09598988333437959,0.42249464584561014,72,Yes
p04,Exercise_Calories,stress,0.24257794928081536,0.04006358665482553,72,Yes
p04,Exercise_Avg_HR,fatigue,0.0737778981192455,0.5820481991273865,58,Yes
p04,Exercise_Avg_HR,mood,0.20475830889736205,0.12311408153335188,58,Yes
p04,Exercise_Avg_HR,readiness,0.15981679289672335,0.23077934397174776,58,Yes
p04,Exercise_Avg_HR,sleep_quality,0.30477190983145247,0.020008564887318295,58,Yes
p04,Exercise_Avg_HR,stress,0.2601070846405783,0.04862333935589484,58,Yes
p04,Sleep_Hours,fatigue,0.03358689901580897,0.7794119150593529,72,Yes
p04,Sleep_Hours,mood,-0.09856049299827141,0.41011856637139676,72,Yes
p04,Sleep_Hours,readiness,0.0196343556952382,0.8699649705848231,72,Yes
p04,Sleep_Hours,sleep_quality,0.12112168094735726,0.31082058357178244,72,Yes
p04,Sleep_Hours,stress,0.06331353277153993,0.5972485520157014,72,Yes
p04,Sleep_Duration_Score,fatigue,0.14460393587197545,0.22891341552364639,71,Yes
p04,Sleep_Duration_Score,mood,0.05466853360403285,0.650687233874715,71,Yes
p04,Sleep_Duration_Score,readiness,0.09680101050800977,0.4219340856214038,71,Yes
p04,Sleep_Duration_Score,sleep_quality,0.3089724948671827,0.008748682260700942,71,Yes
p04,Sleep_Duration_Score,stress,0.14369391460754177,0.23188746666370477,71,Yes
p04,Deep_Sleep_Minutes,fatigue,0.03004501682501504,0.8021735384286618,72,Yes
p04,Deep_Sleep_Minutes,mood,-0.05686462238271047,0.6351777154331573,72,Yes
p04,Deep_Sleep_Minutes,readiness,0.08933958420221594,0.45548721580497925,72,Yes
p04,Deep_Sleep_Minutes,sleep_quality,0.22905006923587576,0.052946960046526825,72,Yes
p04,Deep_Sleep_Minutes,stress,0.0974494854061919,0.4154413868331942,72,Yes
p04,Sleep_Restlessness,fatigue,-0.09981351166434181,0.40756511678253654,71,Yes
p04,Sleep_Restlessness,mood,-0.16899924753642348,0.15886666867542196,71,Yes
p04,Sleep_Restlessness,readiness,-0.033581031537263696,0.7810010813322584,71,Yes
p04,Sleep_Restlessness,sleep_quality,-0.15090578503126767,0.2090460911936826,71,Yes
p04,Sleep_Restlessness,stress,-0.08514198358501018,0.48020780169963884,71,Yes
p04,Sleep_Composition,fatigue,0.11497371541421805,0.33969866225767165,71,Yes
p04,Sleep_Composition,mood,0.07442153495961605,0.5373584112858847,71,Yes
p04,Sleep_Composition,readiness,0.0692285133939658,0.566194743585503,71,Yes
p04,Sleep_Composition,sleep_quality,0.3099174650453433,0.008534500774474832,71,Yes
p04,Sleep_Composition,stress,0.0914268855019732,0.4482758193637363,71,Yes
p04,Sleep_Revitalization,fatigue,0.31878896863805817,0.006737051393596003,71,Yes
p04,Sleep_Revitalization,mood,0.3115648523916961,0.008172062142317272,71,Yes
p04,Sleep_Revitalization,readiness,0.31025496190583746,0.00845912457773959,71,Yes
p04,Sleep_Revitalization,sleep_quality,0.18874153905284516,0.114947566563493,71,Yes
p04,Sleep_Revitalization,stress,0.21721304202942476,0.06882393675500659,71,Yes
p04,Sleep_Score,fatigue,0.2521966610967225,0.03385840417833897,71,Yes
p04,Sleep_Score,mood,0.18101720715271835,0.13086108349346656,71,Yes
p04,Sleep_Score,readiness,0.2068721409662448,0.08345648390249392,71,Yes
p04,Sleep_Score,sleep_quality,0.3511565652231669,0.0026766163335416528,71,Yes
p04,Sleep_Score,stress,0.20442041984922843,0.0872637234917782,71,Yes
p05,Steps,fatigue,0.23894410544849273,0.06143511888554011,62,Yes
p05,Steps,mood,0.022580274304517874,0.8617074473795809,62,Yes
p05,Steps,readiness,0.30846036126679377,0.014720174795027602,62,Yes
p05,Steps,sleep_quality,0.05598472641561675,0.6656017222241724,62,Yes
p05,Steps,stress,-0.019099747060750107,0.8828602425730344,62,Yes
p05,Exercise_Count,fatigue,0.07273986692092956,0.5585662802096818,67,Yes
p05,Exercise_Count,mood,-0.06817918257173966,0.5835498441600488,67,Yes
p05,Exercise_Count,readiness,0.12885525358147387,0.2987038981483065,67,Yes
p05,Exercise_Count,sleep_quality,-0.006053818914673985,0.9612216996050901,67,Yes
p05,Exercise_Count,stress,-0.07491828226175132,0.5468148149775471,67,Yes
p05,Exercise_Duration,fatigue,0.08718690549756601,0.482951740183949,67,Yes
p05,Exercise_Duration,mood,-0.1741041245276825,0.15881385793040206,67,Yes
p05,Exercise_Duration,readiness,0.11317120764498381,0.3618490165452943,67,Yes
p05,Exercise_Duration,sleep_quality,0.07664180391204031,0.5376028138501017,67,Yes
p05,Exercise_Duration,stress,-0.1040467376081379,0.4020815490647163,67,Yes
p05,Exercise_Distance,fatigue,0.0250607677220647,0.8404620919623912,67,Yes
p05,Exercise_Distance,mood,0.19191835072729999,0.11974185442378825,67,Yes
p05,Exercise_Distance,readiness,0.03660759430848452,0.7686771873085698,67,Yes
p05,Exercise_Distance,sleep_quality,0.03284973369029964,0.7918587501929035,67,Yes
p05,Exercise_Distance,stress,0.1962006705616712,0.11155159803320334,67,Yes
p05,Exercise_Calories,fatigue,0.08473674929260565,0.4953811807416524,67,Yes
p05,Exercise_Calories,mood,-0.17889872848339605,0.14747557141094952,67,Yes
p05,Exercise_Calories,readiness,0.11573409476867802,0.35100807863304184,67,Yes
p05,Exercise_Calories,sleep_quality,0.06938642480418328,0.5768872449529371,67,Yes
p05,Exercise_Calories,stress,-0.11557579849697125,0.351671781939598,67,Yes
p05,Exercise_Avg_HR,fatigue,0.09871890851111619,0.5726182322057042,35,Yes
p05,Exercise_Avg_HR,mood,-0.22354812677054406,0.1967359004410967,35,Yes
p05,Exercise_Avg_HR,readiness,-0.031307831015845694,0.8583016375917244,35,Yes
p05,Exercise_Avg_HR,sleep_quality,-0.0023377594538899313,0.9893660409434388,35,Yes
p05,Exercise_Avg_HR,stress,-0.2886547910658419,0.09262771729233668,35,Yes
p05,Sleep_Hours,fatigue,0.12633098419367242,0.3974648151137008,47,Yes
p05,Sleep_Hours,mood,0.08789782358566352,0.5568615096523392,47,Yes
p05,Sleep_Hours,readiness,-0.248738224206202,0.09180397413017745,47,Yes
p05,Sleep_Hours,sleep_quality,0.12965244417127825,0.3850702803678218,47,Yes
p05,Sleep_Hours,stress,0.03620698560065125,0.8090764013682542,47,Yes
p05,Sleep_Duration_Score,fatigue,0.3261292305172602,0.026973025597124792,46,Yes
p05,Sleep_Duration_Score,mood,-0.0668764684004881,0.6587855537183085,46,Yes
p05,Sleep_Duration_Score,readiness,-0.2196310306046716,0.14248762393371978,46,Yes
p05,Sleep_Duration_Score,sleep_quality,0.1679264695140118,0.2646221446585335,46,Yes
p05,Sleep_Duration_Score,stress,-0.011314048830692272,0.940512180300779,46,Yes
p05,Deep_Sleep_Minutes,fatigue,0.1440372258109043,0.3340799576576454,47,Yes
p05,Deep_Sleep_Minutes,mood,0.2102456359189781,0.156053735340911,47,Yes
p05,Deep_Sleep_Minutes,readiness,-0.24854403864546726,0.09206608160933265,47,Yes
p05,Deep_Sleep_Minutes,sleep_quality,0.13193072112593382,0.37670214584290623,47,Yes
p05,Deep_Sleep_Minutes,stress,-0.05092782798211885,0.7338846019874862,47,Yes
p05,Sleep_Restlessness,fatigue,0.209367529823283,0.16257824334922383,46,Yes
p05,Sleep_Restlessness,mood,0.089764245751206,0.5530101203753801,46,Yes
p05,Sleep_Restlessness,readiness,-0.056929730173669826,0.7070692191577789,46,Yes
p05,Sleep_Restlessness,sleep_quality,0.09859531203734166,0.5144695271834001,46,Yes
p05,Sleep_Restlessness,stress,0.16916715147880917,0.26105745290996085,46,Yes
p05,Sleep_Composition,fatigue,-0.05052986784209526,0.7387630693481795,46,Yes
p05,Sleep_Composition,mood,0.28169501331102603,0.057884020363306116,46,Yes
p05,Sleep_Composition,readiness,-0.24136750051972586,0.1060996767739176,46,Yes
p05,Sleep_Composition,sleep_quality,-0.08457780187199128,0.5762635723693407,46,Yes
p05,Sleep_Composition,stress,0.0321598436830962,0.8319738473554485,46,Yes
p05,Sleep_Revitalization,fatigue,-0.15144168617213485,0.3150557629457422,46,Yes
p05,Sleep_Revitalization,mood,-0.05133423922319913,0.7347547157486405,46,Yes
p05,Sleep_Revitalization,readiness,-0.047329624199647716,0.754777592986578,46,Yes
p05,Sleep_Revitalization,sleep_quality,-0.03372316880985756,0.8239322100196148,46,Yes
p05,Sleep_Revitalization,stress,-0.24740634540140444,0.09737897776207104,46,Yes
p05,Sleep_Score,fatigue,0.12113966727015314,0.422577337456064,46,Yes
p05,Sleep_Score,mood,0.02290918289076678,0.8798800329331897,46,Yes
p05,Sleep_Score,readiness,-0.23863709097365626,0.11023363108208128,46,Yes
p05,Sleep_Score,sleep_quality,0.06441167024621786,0.6706320916964198,46,Yes
p05,Sleep_Score,stress,-0.11233054779096993,0.4573284475386906,46,Yes
p06,Steps,fatigue,0.04310971387117264,0.7153354357633273,74,Yes
p06,Steps,mood,0.275660921755527,0.01744410647637993,74,Yes
p06,Steps,readiness,0.38111330861374787,0.0008080129397271392,74,Yes
p06,Steps,sleep_quality,-0.014261704948332302,0.9040068613401765,74,Yes
p06,Steps,stress,-0.03711521739784908,0.753559192259603,74,Yes
p06,Exercise_Count,fatigue,-0.06522241913312808,0.5808792201036902,74,Yes
p06,Exercise_Count,mood,0.18807351899360636,0.10856395473029075,74,Yes
p06,Exercise_Count,readiness,0.20438913160861136,0.0806755368890772,74,Yes
p06,Exercise_Count,sleep_quality,-0.20759274882520198,0.07593640331777231,74,Yes
p06,Exercise_Count,stress,0.3306169637155841,0.004014327631226144,74,Yes
p06,Exercise_Duration,fatigue,-0.016054380135018406,0.8920090211866798,74,Yes
p06,Exercise_Duration,mood,0.18788562127813926,0.10892385107877106,74,Yes
p06,Exercise_Duration,readiness,0.2741706126634393,0.01808655301254099,74,Yes
p06,Exercise_Duration,sleep_quality,-0.18533847176747692,0.1138942623120096,74,Yes
p06,Exercise_Duration,stress,0.31644654747325934,0.00601794132387408,74,Yes
p06,Exercise_Distance,fatigue,0.12688848338759237,0.28133974589664273,74,Yes
p06,Exercise_Distance,mood,0.1031787430697487,0.38168036783376624,74,Yes
p06,Exercise_Distance,readiness,0.41000193014802183,0.0002858446036810317,74,Yes
p06,Exercise_Distance,sleep_quality,-0.12079470512277932,0.3052761293508178,74,Yes
p06,Exercise_Distance,stress,0.03669222820992153,0.7562800903542471,74,Yes
p06,Exercise_Calories,fatigue,0.02896089397057256,0.8065021110444958,74,Yes
p06,Exercise_Calories,mood,0.17899008736150487,0.12704253787407027,74,Yes
p06,Exercise_Calories,readiness,0.3363352326702642,0.003390956801193253,74,Yes
