Participant,Objective_Variable,Wellness_Variable,r,p,N,Time_Lag
p02,Sleep_Duration_Score,readiness,0.009739079180481891,0.9607712020155103,28,t_to_t+1
p02,Sleep_Duration_Score,sleep_quality,0.013574660633484201,0.9453411109654235,28,t_to_t+1
p02,Sleep_Duration_Score,stress,0.04977375565610861,0.8014077043815642,28,t_to_t+1
p02,Deep_Sleep_Minutes,fatigue,,,30,t_to_t+1
p02,Deep_Sleep_Minutes,mood,-0.13566519472235955,0.4747265184947057,30,t_to_t+1
p02,Deep_Sleep_Minutes,readiness,0.13339134034083738,0.48223047405627106,30,t_to_t+1
p02,Deep_Sleep_Minutes,sleep_quality,-0.1072581293153122,0.572654940972528,30,t_to_t+1
p02,Deep_Sleep_Minutes,stress,0.10157306945761013,0.5932837278999349,30,t_to_t+1
p02,Sleep_Restlessness,fatigue,,,28,t_to_t+1
p02,Sleep_Restlessness,mood,0.3021953927641185,0.11806180119426596,28,t_to_t+1
p02,Sleep_Restlessness,readiness,0.35678990100219254,0.06235630967832874,28,t_to_t+1
p02,Sleep_Restlessness,sleep_quality,0.10439800236429952,0.5970243011889009,28,t_to_t+1
p02,Sleep_Restlessness,stress,0.3021953927641185,0.11806180119426596,28,t_to_t+1
p02,Sleep_Composition,fatigue,,,28,t_to_t+1
p02,Sleep_Composition,mood,0.03682375525664294,0.8524196661284793,28,t_to_t+1
p02,Sleep_Composition,readiness,-0.2439875815097048,0.21085709631695038,28,t_to_t+1
p02,Sleep_Composition,sleep_quality,0.07773903887513513,0.6941735032209575,28,t_to_t+1
p02,Sleep_Composition,stress,0.03682375525664294,0.8524196661284793,28,t_to_t+1
p02,Sleep_Revitalization,fatigue,,,28,t_to_t+1
p02,Sleep_Revitalization,mood,0.025207136015970476,0.8986852985583963,28,t_to_t+1
p02,Sleep_Revitalization,readiness,0.19228340544082717,0.32695422604641655,28,t_to_t+1
p02,Sleep_Revitalization,sleep_quality,-0.28988206418366047,0.13457033876974833,28,t_to_t+1
p02,Sleep_Revitalization,stress,0.025207136015970476,0.8986852985583963,28,t_to_t+1
p02,Sleep_Score,fatigue,,,28,t_to_t+1
p02,Sleep_Score,mood,0.062124677119278965,0.7534840394626398,28,t_to_t+1
p02,Sleep_Score,readiness,0.009075557242897853,0.9634420287899325,28,t_to_t+1
p02,Sleep_Score,sleep_quality,-0.10672700941004337,0.588820399658389,28,t_to_t+1
p02,Sleep_Score,stress,0.062124677119278965,0.7534840394626398,28,t_to_t+1
p03,Steps,fatigue,-0.47440419872179523,0.04014812475615187,19,t_to_t+1
p03,Steps,mood,0.05896993880879604,0.8104840408328434,19,t_to_t+1
p03,Steps,readiness,,,19,t_to_t+1
p03,Steps,sleep_quality,,,19,t_to_t+1
p03,Steps,stress,-0.036411598555603206,0.8823523883159906,19,t_to_t+1
p03,Exercise_Count,fatigue,-0.14193323895091484,0.5621716804971628,19,t_to_t+1
p03,Exercise_Count,mood,0.20525898760122524,0.39923241895513806,19,t_to_t+1
p03,Exercise_Count,readiness,,,19,t_to_t+1
p03,Exercise_Count,sleep_quality,,,19,t_to_t+1
p03,Exercise_Count,stress,-0.09753428933010876,0.6911985825521617,19,t_to_t+1
p03,Exercise_Duration,fatigue,-0.4039372053327419,0.08631510236559499,19,t_to_t+1
p03,Exercise_Duration,mood,0.1080014130041349,0.6598657324518433,19,t_to_t+1
p03,Exercise_Duration,readiness,,,19,t_to_t+1
p03,Exercise_Duration,sleep_quality,,,19,t_to_t+1
p03,Exercise_Duration,stress,-0.13157340181291047,0.5913204826822283,19,t_to_t+1
p03,Exercise_Distance,fatigue,,,19,t_to_t+1
p03,Exercise_Distance,mood,,,19,t_to_t+1
p03,Exercise_Distance,readiness,,,19,t_to_t+1
p03,Exercise_Distance,sleep_quality,,,19,t_to_t+1
p03,Exercise_Distance,stress,,,19,t_to_t+1
p03,Exercise_Calories,fatigue,-0.4111697307285907,0.08031091820175137,19,t_to_t+1
p03,Exercise_Calories,mood,0.09863084619285098,0.6878924085076671,19,t_to_t+1
p03,Exercise_Calories,readiness,,,19,t_to_t+1
p03,Exercise_Calories,sleep_quality,,,19,t_to_t+1
p03,Exercise_Calories,stress,-0.09748087014057764,0.6913597814195911,19,t_to_t+1
p03,Exercise_Avg_HR,fatigue,-0.21701557866078564,0.4980844065949567,12,t_to_t+1
p03,Exercise_Avg_HR,mood,-0.20483662259967556,0.523066896890598,12,t_to_t+1
p03,Exercise_Avg_HR,readiness,,,12,t_to_t+1
p03,Exercise_Avg_HR,sleep_quality,,,12,t_to_t+1
p03,Exercise_Avg_HR,stress,0.4389356198564478,0.1534267201520858,12,t_to_t+1
p03,Sleep_Hours,fatigue,0.1950806285137588,0.5039173000978805,14,t_to_t+1
p03,Sleep_Hours,mood,0.21632805650152753,0.45758759311242736,14,t_to_t+1
p03,Sleep_Hours,readiness,,,14,t_to_t+1
p03,Sleep_Hours,sleep_quality,,,14,t_to_t+1
p03,Sleep_Hours,stress,,,14,t_to_t+1
p03,Sleep_Duration_Score,fatigue,0.3376353469658638,0.23775969490440066,14,t_to_t+1
p03,Sleep_Duration_Score,mood,0.5089594574266283,0.06306970077308134,14,t_to_t+1
p03,Sleep_Duration_Score,readiness,,,14,t_to_t+1
p03,Sleep_Duration_Score,sleep_quality,,,14,t_to_t+1
p03,Sleep_Duration_Score,stress,,,14,t_to_t+1
p03,Deep_Sleep_Minutes,fatigue,0.39418295353913024,0.16312657232484015,14,t_to_t+1
p03,Deep_Sleep_Minutes,mood,-0.21616412778945415,0.4579368573980644,14,t_to_t+1
p03,Deep_Sleep_Minutes,readiness,,,14,t_to_t+1
p03,Deep_Sleep_Minutes,sleep_quality,,,14,t_to_t+1
p03,Deep_Sleep_Minutes,stress,,,14,t_to_t+1
p03,Sleep_Restlessness,fatigue,0.2664193553971737,0.3572036480426243,14,t_to_t+1
p03,Sleep_Restlessness,mood,-0.04456080282853575,0.8797707739876399,14,t_to_t+1
p03,Sleep_Restlessness,readiness,,,14,t_to_t+1
p03,Sleep_Restlessness,sleep_quality,,,14,t_to_t+1
p03,Sleep_Restlessness,stress,,,14,t_to_t+1
p03,Sleep_Composition,fatigue,-0.0346271680532222,0.9064502284740261,14,t_to_t+1
p03,Sleep_Composition,mood,0.271498660374615,0.3477577711377926,14,t_to_t+1
p03,Sleep_Composition,readiness,,,14,t_to_t+1
p03,Sleep_Composition,sleep_quality,,,14,t_to_t+1
p03,Sleep_Composition,stress,,,14,t_to_t+1
p03,Sleep_Revitalization,fatigue,0.10059199249778628,0.7322312931453658,14,t_to_t+1
p03,Sleep_Revitalization,mood,-0.22657319268986328,0.4360196040369758,14,t_to_t+1
p03,Sleep_Revitalization,readiness,,,14,t_to_t+1
p03,Sleep_Revitalization,sleep_quality,,,14,t_to_t+1
p03,Sleep_Revitalization,stress,,,14,t_to_t+1
p03,Sleep_Score,fatigue,0.21252557102111275,0.4657224355100924,14,t_to_t+1
p03,Sleep_Score,mood,0.19996001199600147,0.4930920018132282,14,t_to_t+1
p03,Sleep_Score,readiness,,,14,t_to_t+1
p03,Sleep_Score,sleep_quality,,,14,t_to_t+1
p03,Sleep_Score,stress,,,14,t_to_t+1
p04,Steps,fatigue,-0.2867488810161402,0.019579961230823784,66,t_to_t+1
p04,Steps,mood,0.0729488913476578,0.5605042775014413,66,t_to_t+1
p04,Steps,readiness,-0.1552847614792365,0.21313035471760716,66,t_to_t+1
p04,Steps,sleep_quality,-0.1738494822827965,0.16270527159524747,66,t_to_t+1
p04,Steps,stress,-0.017585318995209896,0.8885454622117299,66,t_to_t+1
p04,Exercise_Count,fatigue,-0.15709837181445233,0.20776790844941415,66,t_to_t+1
p04,Exercise_Count,mood,0.1424199985344634,0.2539760480256408,66,t_to_t+1
p04,Exercise_Count,readiness,-0.19694393296577978,0.11297173177703702,66,t_to_t+1
p04,Exercise_Count,sleep_quality,-0.015515304623801457,0.9015955687404082,66,t_to_t+1
p04,Exercise_Count,stress,0.11145703440890661,0.3729501245182602,66,t_to_t+1
p04,Exercise_Duration,fatigue,-0.15607530233503653,0.21078102974963003,66,t_to_t+1
p04,Exercise_Duration,mood,0.1458694313815512,0.24253659554808338,66,t_to_t+1
p04,Exercise_Duration,readiness,-0.17384261947076518,0.16272212438012476,66,t_to_t+1
p04,Exercise_Duration,sleep_quality,-0.1124820275107087,0.3685425699514599,66,t_to_t+1
p04,Exercise_Duration,stress,0.008111333935158503,0.9484616219161227,66,t_to_t+1
p04,Exercise_Distance,fatigue,-0.19075582312752512,0.12497464149539736,66,t_to_t+1
p04,Exercise_Distance,mood,0.09541162962489039,0.44602503292501555,66,t_to_t+1
p04,Exercise_Distance,readiness,-0.1816441042309512,0.1443830226470085,66,t_to_t+1
p04,Exercise_Distance,sleep_quality,-0.16823977489451952,0.17691369017237593,66,t_to_t+1
p04,Exercise_Distance,stress,0.00796687743059227,0.9493782657483998,66,t_to_t+1
p04,Exercise_Calories,fatigue,-0.263240530545252,0.032717220917224024,66,t_to_t+1
p04,Exercise_Calories,mood,0.049736936748525896,0.6916697718111627,66,t_to_t+1
p04,Exercise_Calories,readiness,-0.26919054579355073,0.02884138628922662,66,t_to_t+1
p04,Exercise_Calories,sleep_quality,-0.1675684869351229,0.17867258662820562,66,t_to_t+1
p04,Exercise_Calories,stress,-0.06595094257617012,0.5988018778816913,66,t_to_t+1
p04,Exercise_Avg_HR,fatigue,-0.09512120838327093,0.4938530257649818,54,t_to_t+1
p04,Exercise_Avg_HR,mood,-0.0396349879599629,0.7759864440342557,54,t_to_t+1
p04,Exercise_Avg_HR,readiness,-0.19384402072960424,0.16017357225441362,54,t_to_t+1
p04,Exercise_Avg_HR,sleep_quality,-0.23075309310205958,0.09320175667237432,54,t_to_t+1
p04,Exercise_Avg_HR,stress,-0.08368122563488332,0.5474424533336735,54,t_to_t+1
p04,Sleep_Hours,fatigue,0.1281702987964258,0.305078748159936,66,t_to_t+1
p04,Sleep_Hours,mood,0.1352770605720544,0.278814921867574,66,t_to_t+1
p04,Sleep_Hours,readiness,0.021275804114578103,0.8653545274735938,66,t_to_t+1
p04,Sleep_Hours,sleep_quality,0.019505540774887153,0.8764659392761878,66,t_to_t+1
p04,Sleep_Hours,stress,0.1202409399080012,0.33621401003133167,66,t_to_t+1
p04,Sleep_Duration_Score,fatigue,0.006724687678805948,0.9576006202784063,65,t_to_t+1
p04,Sleep_Duration_Score,mood,0.0017531912542511179,0.9889413339827103,65,t_to_t+1
p04,Sleep_Duration_Score,readiness,0.02504049783177307,0.8430475920307965,65,t_to_t+1
p04,Sleep_Duration_Score,sleep_quality,0.18144597081120958,0.14803211242877465,65,t_to_t+1
p04,Sleep_Duration_Score,stress,0.045628105712514605,0.718162366690179,65,t_to_t+1
p04,Deep_Sleep_Minutes,fatigue,0.11942808948267881,0.33951472385517895,66,t_to_t+1
p04,Deep_Sleep_Minutes,mood,0.0838809185276822,0.5031044519095811,66,t_to_t+1
p04,Deep_Sleep_Minutes,readiness,0.0364627480347302,0.7713101678076606,66,t_to_t+1
p04,Deep_Sleep_Minutes,sleep_quality,0.09370442232602812,0.4542417855338511,66,t_to_t+1
p04,Deep_Sleep_Minutes,stress,0.06373382884619175,0.6111725118915481,66,t_to_t+1
p04,Sleep_Restlessness,fatigue,0.05579000290998167,0.6589162033085407,65,t_to_t+1
p04,Sleep_Restlessness,mood,0.01568940096849343,0.9012794599711154,65,t_to_t+1
p04,Sleep_Restlessness,readiness,0.01286983912315242,0.9189544322042137,65,t_to_t+1
p04,Sleep_Restlessness,sleep_quality,0.19685351829118294,0.11601751267168256,65,t_to_t+1
